B0019|M1004|Q021|2|Booked|05/05/2024|21:31:56|01/01/2025|Credit Card|05/05/2024|21:31:56|12.50
B0020|M1005|Q001|1|Booked|05/05/2024|21:33:06|01/01/2025|Credit Card|05/05/2024|21:33:06|9.99
B0021|M1005|Q028|10|Booked|05/05/2024|21:33:06|18/09/2024|Debit Card|05/05/2024|21:33:06|60.00
B0022|M1005|Q032|5|Booked|05/05/2024|21:33:06|14/08/2024|Debit Card|05/05/2024|21:33:06|36.00
B0023|M1006|Q019|2|Booked|05/05/2024|21:34:19|25/08/2024|Credit Card|05/05/2024|21:34:19|12.90
B0024|M1006|Q030|2|Booked|05/05/2024|21:34:19|02/08/2024|Credit Card|05/05/2024|21:34:19|14.50
B0025|M1007|Q020|3|Booked|05/05/2024|21:35:01|09/09/2024|Credit Card|05/05/2024|21:35:01|21.60
B0026|M1007|Q038|10|Booked|05/05/2024|21:35:01|24/07/2024|Debit Card|05/05/2024|21:35:01|10.00
B0027|M1008|Q020|5|Booked|05/05/2024|21:37:51|12/12/2024|Credit Card|05/05/2024|21:37:51|36.00
B0028|M1008|Q031|5|Booked|05/05/2024|21:37:51|13/12/2024|Credit Card|05/05/2024|21:37:51|34.25
B0029|M1009|Q030|2|Booked|05/05/2024|21:38:39|23/08/2024|Debit Card|05/05/2024|21:38:39|14.50
B0030|M1011|Q031|10|Booked|05/05/2024|21:39:25|12/08/2024|Credit Card|05/05/2024|21:39:25|68.50
B0031|M1009|Q008|2|Booked|05/05/2024|21:42:48|12/07/2024|Credit Card|05/05/2024|21:42:48|14.50
B0032|M1009|Q010|13|Booked|05/05/2024|21:42:48|12/08/2024|Credit Card|05/05/2024|21:42:48|92.30
B0033|M1009|Q029|2|Booked|05/05/2024|21:42:48|12/08/2024|E-Wallet|05/05/2024|21:42:48|15.70
B0034|M1009|Q016|5|Booked|05/05/2024|21:42:48|24/07/2024|Debit Card|05/05/2024|21:42:48|30.50
B0035|M1009|Q011|2|Booked|05/05/2024|21:42:48|11/06/2024|E-Wallet|05/05/2024|21:42:48|13.10
B0036|M1008|Q010|1|Booked|05/05/2024|21:44:58|12/02/2025|Credit Card|05/05/2024|21:44:58|7.10
B0037|M1008|Q004|1|Booked|05/05/2024|21:44:58|05/05/2024|E-Wallet|05/05/2024|21:44:58|8.00
B0038|M1008|Q018|5|Booked|05/05/2024|21:44:58|12/05/2024|Debit Card|05/05/2024|21:44:58|36.75
B0039|M1008|Q006|1|Booked|05/05/2024|21:44:58|12/05/2024|Debit Card|05/05/2024|21:44:58|6.00
B0040|M1008|Q002|2|Booked|05/05/2024|21:44:58|12/05/2024|Credit Card|05/05/2024|21:44:58|14.00
B0041|M1008|Q008|2|Booked|05/05/2024|21:44:58|20/05/2024|Credit Card|05/05/2024|21:44:58|14.50
B0042|M1008|Q014|5|Booked|05/05/2024|21:44:58|12/06/2024|E-Wallet|05/05/2024|21:44:58|40.25
B0043|M1010|Q008|1|Booked|05/05/2024|21:49:04|02/12/2024|E-Wallet|05/05/2024|21:49:04|7.25
B0044|M1010|Q020|5|Booked|05/05/2024|21:49:04|12/06/2024|Debit Card|05/05/2024|21:49:04|36.00
B0045|M1010|Q037|2|Booked|05/05/2024|21:49:04|16/08/2024|E-Wallet|05/05/2024|21:49:04|14.70
B0046|M1005|Q007|4|Booked|05/05/2024|21:49:58|05/05/2024|E-Wallet|05/05/2024|21:49:58|27.00
B0047|M1005|Q009|10|Booked|05/05/2024|21:49:58|12/06/2024|Debit Card|05/05/2024|21:49:58|62.50
B0048|M1005|Q009|1|Booked|05/05/2024|21:49:58|02/07/2024|E-Wallet|05/05/2024|21:49:58|6.25
B0049|M1005|Q010|1|Booked|05/05/2024|21:49:58|05/10/2024|E-Wallet|05/05/2024|21:49:58|7.10
B0050|M1005|Q034|5|Booked|05/05/2024|21:49:58|05/12/2024|E-Wallet|05/05/2024|21:49:58|35.75
B0051|M1006|Q014|1|Booked|05/05/2024|21:51:23|08/12/2024|E-Wallet|05/05/2024|21:51:23|8.05
B0052|M1001|Q031|3|Booked|06/05/2024|10:09:47|01/08/2024|Debit Card|06/05/2024|10:09:47|20.55
